ID,Name,Email,Age,Type,Skills,Field
C088,Virat,v88@mail.com,35,Experienced,Java;SQL,10
C089,Sridhar,s89@mail.com,30,Experienced,C++;ML,6
C090,Imtiaz,i90@mail.com,26,Experienced,Python;DSA,2
C091,Faiz,f91@mail.com,29,Experienced,Java;React,5
C092,Junaid,j92@mail.com,31,Experienced,C++;Python,6
C093,Adnan,a93@mail.com,33,Experienced,Python;SQL,8
C094,Saqib,s94@mail.com,28,Experienced,C++;DSA,3
C095,Rubel,r95@mail.com,34,Experienced,Python;ML,9
C096,Murtaza,m96@mail.com,26,Experienced,Java;Spring,2
C097,Ashfaq,a97@mail.com,28,Experienced,C;C++;OS,4
C098,Sadiq,s98@mail.com,30,Experienced,Python;AI,7
C099,Mazhar,m99@mail.com,27,Experienced,Java;SQL,3
C100,Shameer,s100@mail.com,29,Experienced,C++;Python,5
